t:0.0143,S:4.363940701502374,Sloc:4.363940701502374,Sloc(species):0.0,Sum:4.363940701502374
t:0.0144,S:4.363951492925095,Sloc:4.363951492925095,Sloc(species):0.0,Sum:4.363951492925095
t:0.0145,S:4.363778056130515,Sloc:4.363778056130515,Sloc(species):0.0,Sum:4.363778056130515
t:0.0146,S:4.363584600995642,Sloc:4.363584600995642,Sloc(species):0.0,Sum:4.363584600995642
t:0.0147,S:4.363584600995642,Sloc:4.363584600995642,Sloc(species):0.0,Sum:4.363584600995642
t:0.0148,S:4.363584600995642,Sloc:4.363584600995642,Sloc(species):0.0,Sum:4.363584600995642
t:0.0149,S:4.363842185255133,Sloc:4.363842185255133,Sloc(species):0.0,Sum:4.363842185255133
t:0.015,S:4.363842185255133,Sloc:4.363842185255133,Sloc(species):0.0,Sum:4.363842185255133
t:0.0151,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0152,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0153,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0154,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0155,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0156,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0157,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0158,S:4.363703383169389,Sloc:4.363703383169389,Sloc(species):0.0,Sum:4.363703383169389
t:0.0159,S:4.363445798909897,Sloc:4.363445798909897,Sloc(species):0.0,Sum:4.363445798909897
t:0.016,S:4.363445798909897,Sloc:4.363445798909897,Sloc(species):0.0,Sum:4.363445798909897
t:0.0161,S:4.363445798909897,Sloc:4.363445798909897,Sloc(species):0.0,Sum:4.363445798909897
t:0.0162,S:4.363726988184463,Sloc:4.363726988184463,Sloc(species):0.0,Sum:4.363726988184463
t:0.0163,S:4.363954225388994,Sloc:4.363954225388994,Sloc(species):0.0,Sum:4.363954225388994
t:0.0164,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.0165,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.0166,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.0167,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.0168,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.0169,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.017,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
